Year,DOY,Species,Fgroup,Cond_night,Trmmol_night,Photo,Cond_day,Trmmol_day,Percent_cond,Percent_trmmol,PD,MD,Soil_moisture,TAIR_N,VPD_N,TAIR_D,VPD_D,
2014,231,AC,woody,0.011585776,0.297609631,12.16987423,0.193992631,5.292228407,5.972276165,5.62352205,-0.8,-2.75,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,AC,woody,0.002676581,0.067583303,15.16075741,0.068388382,2.875455266,3.913794976,2.35035138,-0.6,-3.35,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,PV,grass,0.011202824,0.289950722,22.91333382,0.109013991,4.573590295,8.923892988,5.776882345,-1.4,-2.7,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,PV,grass,0.00373308,0.098291986,11.61985026,0.059794239,2.568132455,3.836458719,2.425240071,-1.55,-2.8,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,PV,grass,0.004504679,0.101293478,27.89070321,0.116239715,6.042601198,3.805337193,1.727037925,-1.4,-2.5,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,RG,woody,0.004900654,0.124814003,21.31394549,0.294861962,9.702495481,1.662016493,1.28641135,-1,-2.2,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,RG,woody,0.062002769,1.384464594,19.80979634,0.292786377,9.504901148,21.17679442,14.56579687,-1.1,-2.3,0.074,26.59,1.244768564,28.97,1.576527008,
2014,231,RG,woody,0.001358069,0.030207561,2.470160412,0.026095493,1.208457543,0.430832265,0.302647851,-1,-2.3,0.074,26.59,1.244768564,28.97,1.576527008,
2014,250,AG,grass,0.048129625,0.388715829,12.89815789,0.128351075,2.061974026,37.49841954,18.85163557,-0.55,-1.85,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,AG,grass,0.04561666,0.358434381,20.70821012,0.155039373,2.902024891,29.42262939,12.35118218,-0.4,-1.5,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,AG,grass,0.00893722,0.07599894,10.33932944,0.075460762,1.588997493,11.84353244,4.782823139,-0.7,-1.7,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,CD,woody,0.059582381,0.435338311,11.93792099,0.241867418,3.543463774,24.63431485,12.28567127,-0.5,-1.1,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,CD,woody,0.120830891,0.850976665,9.384544781,0.081821099,1.891072736,147.6769334,44.99967919,-0.6,-1.35,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,CD,woody,0.040601908,0.301387738,8.504174713,0.119246477,2.206750488,34.04872756,13.65753579,-0.65,-1.4,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SC,forb,0.02732843,0.220319221,14.34307834,0.141458943,2.130725009,19.31898387,10.34010582,-0.55,-2,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SC,forb,0.003955076,0.032978315,16.63671914,0.280803707,4.663463625,1.408484244,0.707163546,-0.6,-1.8,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SC,forb,0.128906094,0.957703974,17.04393164,0.281524073,5.476627149,45.7886575,17.48711291,-0.5,-1.7,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SN,grass,0.01934599,0.15873297,16.84728944,0.197429387,2.476744959,9.798941317,6.408934826,-0.3,-1.45,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SN,grass,0.060782057,0.479271646,12.98673608,0.07745152,1.227510006,78.47755225,39.04421499,-0.3,-1.45,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,SN,grass,0.031556777,0.262122597,24.2714065,0.137383598,2.359467621,22.96982859,11.10939579,-0.35,-1.55,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,VB,forb,0.095743849,0.698321359,9.761369989,0.120955781,2.950631473,79.15607574,23.66684439,-0.5,-1.75,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,VB,forb,0.112046328,0.794190133,13.85131393,0.207529472,4.044347535,53.99056185,19.63703974,-0.3,-1.45,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,VB,forb,0.055629319,0.413625886,10.44517926,0.176987053,3.608780346,31.43129312,11.46165315,-0.5,-1.3,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,AC,woody,0.059759925,0.469416263,7.385295557,0.079892242,1.035291246,74.8006606,45.3414693,-0.8,-2.75,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,AC,woody,0.023563141,0.194765917,10.28385068,0.105602032,1.383246792,22.31315163,14.08034471,-0.65,-1.8,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,AC,woody,0.000520576,0.0042945,11.51844995,0.126111844,2.036974586,0.412789045,0.210827352,-0.8,-2.55,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,PV,grass,0.236062137,1.599910856,25.92007008,0.234992486,2.659641344,100.4551851,60.15513558,-0.4,-1.9,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,PV,grass,0.049468553,0.391985477,17.79963062,0.151057381,2.25499692,32.74818624,17.38297172,-0.45,-1.7,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,PV,grass,0,0,18.83049541,0.106653462,2.563195383,0,0,-0.3,-1.85,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,RG,woody,0.017517049,0.144579331,16.77997089,0.225885167,3.459989797,7.896676389,4.244467313,-0.8,-2,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,RG,woody,0.015709405,0.130346974,13.53805863,0.222972923,3.392061327,7.045431763,3.842706891,-0.9,-1.8,0.114,17.38,0.628766628,23.49,1.515262033,
2014,250,RG,woody,0.014921521,0.12499671,17.56406771,0.255255545,3.913611397,5.845718766,3.193896809,-0.9,-1.7,0.114,17.38,0.628766628,23.49,1.515262033,
2015,152,AG,grass,0.070492541,0.77094393,8.239182515,0.060063672,1.246446338,85.76181217,46.52629724,-0.35,-0.75,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,AG,grass,0.098241046,1.071158355,18.07512408,0.153711591,3.090488776,63.91258168,34.65983646,-0.25,-0.45,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,AG,grass,0.046904282,0.538652547,12.1121742,0.095684204,2.466404335,70.31383964,25.28701436,-0.3,-0.5,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,CD,woody,0.034164901,0.368244851,8.150455156,0.157405831,1.779793878,21.70497813,20.69030887,-0.25,-1,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,CD,woody,0.092939141,0.89802462,15.08312377,0.339600474,4.446348871,27.36719985,20.19689967,-0.05,-0.85,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,CD,woody,0.065913619,0.628777958,15.19833496,0.4038261,4.985746488,16.32227812,12.61151083,-0.3,-1.05,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SC,forb,0.017978844,0.193055261,9.921458631,0.179472322,2.818695592,10.01761353,6.849099349,-0.35,-0.75,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SC,forb,0.023565904,0.247110388,13.75964801,0.330595747,4.798805264,9.562757076,6.982198808,-0.4,-0.85,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SC,forb,0.021779561,0.218137899,12.14292015,0.246434204,3.539148558,12.72114361,5.855729631,-0.4,-1.05,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SN,grass,0.088860842,0.881600229,11.66011634,0.111655746,1.954131113,79.58465643,45.11469181,-0.25,-0.8,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SN,grass,0.094057228,0.937556268,21.72923635,0.213303401,4.113474212,69.22549889,28.28049792,-0.15,-0.5,0.1705944,14.61,0.1652529,21.95,1.131412394,
2015,152,SN,grass,0.096361663,1.023632822,20.55086793,0.135870783,3.315204247,56.4211991,24.94016871,-0.2,-0.7,0.1705944,14.61,0.1652529,21.95,1.131412394,
